RowID,DocumentID,SectionTitle,ChunkSize,Overlap,ContentText,IsActive,SystemScore
22,DOC-2026-1022,Deep Dive Analysis Section 22,512,50,"This dummy data row 22 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.932
23,DOC-2026-1023,Deep Dive Analysis Section 23,512,50,"This dummy data row 23 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.933
24,DOC-2026-1024,Deep Dive Analysis Section 24,512,50,"This dummy data row 24 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.934
25,DOC-2026-1025,Deep Dive Analysis Section 25,512,50,"This dummy data row 25 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.935
26,DOC-2026-1026,Deep Dive Analysis Section 26,512,50,"This dummy data row 26 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.936
27,DOC-2026-1027,Deep Dive Analysis Section 27,512,50,"This dummy data row 27 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.937
28,DOC-2026-1028,Deep Dive Analysis Section 28,512,50,"This dummy data row 28 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.938
29,DOC-2026-1029,Deep Dive Analysis Section 29,512,50,"This dummy data row 29 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.939
30,DOC-2026-1030,Deep Dive Analysis Section 30,512,50,"This dummy data row 30 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.94
31,DOC-2026-1031,Deep Dive Analysis Section 31,512,50,"This dummy data row 31 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.941
32,DOC-2026-1032,Deep Dive Analysis Section 32,512,50,"This dummy data row 32 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.942
33,DOC-2026-1033,Deep Dive Analysis Section 33,512,50,"This dummy data row 33 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.943
34,DOC-2026-1034,Deep Dive Analysis Section 34,512,50,"This dummy data row 34 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.944
35,DOC-2026-1035,Deep Dive Analysis Section 35,512,50,"This dummy data row 35 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.945
36,DOC-2026-1036,Deep Dive Analysis Section 36,512,50,"This dummy data row 36 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.946
37,DOC-2026-1037,Deep Dive Analysis Section 37,512,50,"This dummy data row 37 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.947
38,DOC-2026-1038,Deep Dive Analysis Section 38,512,50,"This dummy data row 38 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.948
39,DOC-2026-1039,Deep Dive Analysis Section 39,512,50,"This dummy data row 39 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.949
40,DOC-2026-1040,Deep Dive Analysis Section 40,512,50,"This dummy data row 40 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.95
41,DOC-2026-1041,Deep Dive Analysis Section 41,512,50,"This dummy data row 41 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.951
42,DOC-2026-1042,Deep Dive Analysis Section 42,512,50,"This dummy data row 42 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.952
43,DOC-2026-1043,Deep Dive Analysis Section 43,512,50,"This dummy data row 43 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.953
44,DOC-2026-1044,Deep Dive Analysis Section 44,512,50,"This dummy data row 44 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.954
45,DOC-2026-1045,Deep Dive Analysis Section 45,512,50,"This dummy data row 45 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.955
46,DOC-2026-1046,Deep Dive Analysis Section 46,512,50,"This dummy data row 46 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.956
47,DOC-2026-1047,Deep Dive Analysis Section 47,512,50,"This dummy data row 47 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.957
48,DOC-2026-1048,Deep Dive Analysis Section 48,512,50,"This dummy data row 48 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.958
49,DOC-2026-1049,Deep Dive Analysis Section 49,512,50,"This dummy data row 49 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.959
50,DOC-2026-1050,Deep Dive Analysis Section 50,512,50,"This dummy data row 50 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.96
51,DOC-2026-1051,Deep Dive Analysis Section 51,512,50,"This dummy data row 51 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.961
52,DOC-2026-1052,Deep Dive Analysis Section 52,512,50,"This dummy data row 52 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.962
53,DOC-2026-1053,Deep Dive Analysis Section 53,512,50,"This dummy data row 53 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.963
54,DOC-2026-1054,Deep Dive Analysis Section 54,512,50,"This dummy data row 54 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.964
55,DOC-2026-1055,Deep Dive Analysis Section 55,512,50,"This dummy data row 55 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.965
56,DOC-2026-1056,Deep Dive Analysis Section 56,512,50,"This dummy data row 56 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.966
57,DOC-2026-1057,Deep Dive Analysis Section 57,512,50,"This dummy data row 57 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.967
58,DOC-2026-1058,Deep Dive Analysis Section 58,512,50,"This dummy data row 58 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.968
59,DOC-2026-1059,Deep Dive Analysis Section 59,512,50,"This dummy data row 59 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.969
